rank,title,author,search_rating_info,url,rating,ratings_count,reviews_count,description,format,language,published
1,ثلاثية غرناطة,Radwa Ashour,"4.29 avg rating — 52,564 ratings",https://www.goodreads.com/book/show/3438000,4.29,"52,564 ratings","8,849 reviews",ثلاثية غرناطة هي ثلاثية روائية تتكون من ثلاث روايات للكاتبة المصرية رضوى عاشور و هم على التوالي: غرناطة - مريمة - الرحيل. وتدور الأحداث في مملكة غرناطة بعد سقوط جميع الممالك الإسلامية في الأندلس، و تبدأ أحداث الثلاثية في عام 1491م، وهو العام الذي سقطت فيه غرناطة بإعلان المعاهدة التي تنازل بمقتضاها (أبو عبد الله محمد الصغير) آخر ملوك غرناطة عن ملكه لملكي قشتالة وأراجون، وتنتهى بمخالفة آخر أبطالها الأحياء (عليّ) لقرار ترحيل المسلمين حينما يكتشف أن الموت في الرحيل عن الأندلس و ليس في البقاء.,"502 pages, Paperback",Arabic,"January 1, 1994"
2,حوار مع صديقي الملحد,Mostafa Mahmoud,"3.88 avg rating — 35,489 ratings",https://www.goodreads.com/book/show/5664022,3.88,"35,489 ratings","3,326 reviews","رد على أسئله لملحدين على الدين الإسلامي, رد رائع بالدلائل والأمثله يجيب عن تساؤلات عقلنا فى فترة ما نمر بها ويرد بها على الآخرين الماديين. صديقى رجل يحب الجدل ويهوى الكلام وهو يعتقد أننا نحن المؤمنون السذج نقتات بالاوهام ونضحك على أنفسنا بالجنة والحوار العين وتفوتنا لذات الدنيا ومفاتنها.. وصديقى بهذه المناسبة تخرج من فرنسا وحصل على دكتوراه وعاش مع الهيبيز وأصبح ينكر كل شئ. قال لى ساخرا: -انتم تقولون: ان الله موجود، وعمدة براهينكم هو قانون “السببية” الذى ينص على أن لكل صنعة صانعا ولكل خلق خالقاً ولكل وجود موجدا.. النسيج يدل على النساج والرسم على الرسام والنقش على النقاش والكون بهذا المنطق أبلغ دليل على الاله القدير الذى خلقه. صدقنا وآمنا بهذا الخالق.. ألا يحق لنا بنفس المنطق أن نسأل.. ومن خلق الخالق.. من خلق الله الذى تحدثوننا عنه.. ألا تقودنا نفس استدلالاتكم الى هذا.. وتبعا لنفس قانون السببية.. ما رأيكم فى هذا المطب دام فضلكم؟. ونحن نقول له: سؤالك فاسد.. ولا مطب ولا حاجة فأنت تسلم بأن الله خالق ثم تقول من خلقه؟! فتجعل منه خالقا ومخلوقا فى نفس الجملة وهذا تناقض، والوجه الآخر لفساد السؤال أنك تتصور خضوع الخالق لقوانين مخلوقاته.. فالسببية قانوننا نحن أبناء الزمان والمكان. والله الذى خلق الزمان والمكان هو بالضرورة فوق الزمان والمكان ولا يصح لنا أن نتصوره مقيدا بالزمان والمكان ولا بقوانين الزمان والمكان. والله هو الذى خلق قانون السببية فلا يجوز أن نتصوره خاضعا لقانون السببية الذى خلقه، وأنت بهذه السفسطة أشبه بالعرائس التى تتحرك بزمبلك وتتصور أن الانسان الذى صنعها لابد هو الآخر يتحرك بزمبلك.. فاذا قلنا لها بل هو يتحرك من تلقاء نفسه.. قالت: مستحيل أن يتحرك شئ من تلقاء نفسه.. انى أرى فى عالمى كل شئ يتحرك بزمبلك، وأنت بالمثل لا تتصور أن الله موجود بذاته بدون موجد.. لمجرد أنك ترى كل شئ حولك فى حاجة الى موجد.","160 pages, Paperback",Arabic,"January 1, 1970"
3,The Bridges of Constantine,Ahlam Mosteghanemi,"3.80 avg rating — 25,720 ratings",https://www.goodreads.com/book/show/18632934-the-bridges-of-constantine,3.80,"25,720 ratings","2,245 reviews","The Bridges of Constantine is a poignant fresco of Algeria over the last 50 years, a searing love story and a hymn to a lost city. Khaled, a former revolutionary in the Algerian war of liberation has been in self-exile in Paris for two decades, disgusted by the corruption that now riddles the country he once fought for. He has become a celebrated painter, and at the opening of one of his exhibitions, Hayat, the daughter of his old revolutionary commander, unexpectedly reenters Khaled's life. Hayat had been just a child when he last saw her, but she has now become a seductive young novelist. Khaled is consumed with passion for her, and she comes to embody the homeland and the city he still grieves for – the city he paints over and over again in his canvases. Through Hayat, his past is breathed back into life and he at last begins to confront his feelings about Algeria. But for Hayat, as elusive as she is tender, the question of what one should yearn for is not so simple, and the choices she makes will have devastating consequences for them both. The first novel in an award-winning, bestselling trilogy that spans Algeria's tumultuous recent history, The Bridges of Constantine is a lyrical and heartrending love story about loss and remembrance, exile and belonging.","320 pages, Hardcover",English,"January 1, 1993"
4,حول العالم في 200 يوم,أنيس منصور,"4.06 avg rating — 11,489 ratings",https://www.goodreads.com/book/show/3491072-200,4.06,"11,489 ratings",972 reviews,عرض في هذا الكتاب معلومات عن الدول المختلفة وخصوصاً دول جنوب شرق آسيا مثل الهند و سيلان وسنغافورة و أستراليا واليابان والفلبين وهونج كونج، ثم زار أيضا الولايات المتحدة الأمريكية وجزيرة هاواي. وتحدث أيضا خلال رحلته إلى اليابان عن اللؤلؤ المستزرع الذي أكتشفه ميكوموتو الذي قام بأول عملية استزراع للؤلؤ.وكتب عما أعجبه في هذه البلاد من تقاليد وعادات مختلفة، وتشابهها مع عادات الدول الأخرى. وتحدث في الكتاب عن اعتزازه بكونه أول صحفي في العالم كله أجري مقابله حصرية مع الدالاي لاما رئيس دولة التبت (الحائز علي جائزة نوبل في السلام )، وقد أجرى معه مقابلة حصرية، وتم أخذ صورة لأنيس منصور مع الدالاي لاما (تظهر الصورة في الصفحة 106) من الكتاب، وكانت هذه أول صورة يراها العالم للدالاي لاما وقد تم نشرها بدار اخبار اليوم بمصر لتحميل الكتاب من هذا الرابط : http://mmaqara2tt.com/index.php/books...,"604 pages, Hardcover",Arabic,"January 1, 1963"
5,الرحيق المختوم,Safiur Rahman Mubarakpuri,"4.61 avg rating — 23,823 ratings",https://www.goodreads.com/book/show/545425._,4.61,"23,823 ratings","2,219 reviews","الرحيق المختوم بحث في السيرة النبوية. تأليف: الشيخ صفي الرحمن المباركفوري. قُدِّم في مسابقة رابطة العالم الإسلامي في السيرة النبوية الشريفة، وحاز البحث على المركز الأول. ""ومن منهجي في هذا الكتاب ـ عدا ما جاء في إعلان الرابطة ـ أني قررت سلوك سبيل الاعتدال، متجنبًا التطويل الممل والإيجاز المخل، وقد وجدت المصادر تختلف فيما بينها حول كثير مما يتعلق بالأحداث اختلافًا لا يحتمل الجمع والتوفيق، فاخترت سبيل الترجيح، وأثبت في الكتاب ما ترجح لدي بعد التدقيق في الدراسة والنقد، إلا أني طويت ذكر الدلائل والوجوه؛ لأن ذلك يفضي إلى طول غير مطلوب‏. أما بالنسبة لقبول الروايات وردها فقد استفدت في ذلك مما كتبه الأئمة المتقنون، واعتمدت عليهم فيما حكموا به من الصحة والحسن والضعف؛ إذ لم أجد وقتًا يكفي للخوض في هذا المجال‏.‏ وقد أشرت في بعض المواضع إلى بعض الدلائل ووجوه الترجيح، وذلك حينما خِفْتُ الاستغراب ممن يقرأ الكتاب، أو رأيت شبه الاتفاق فيما بين الأولين والآخرين على خلاف ما هو الصواب‏.‏ والله ولي التوفيق‏.‏"" الجمعة المباركة 24/7/1396هـ 23/7/1976م صفي الرحمن المباركفوري الجامعة السلفية بنارس - الهند","498 pages, Hardcover",Arabic,"January 1, 1976"
6,أولاد حارتنا,Naguib Mahfouz,"4.08 avg rating — 32,002 ratings",https://www.goodreads.com/book/show/2364284._,4.08,"32,002 ratings","3,866 reviews",يجلس الجبلاوي في بيته الكبير المحاط بالحدائق واﻷسوار العالية ومن حوله أحفاده الذين يتنازعون للحصول على وقفه، ويقوم الفتوات بابعاد هؤلاء عن جنته اﻷرضية، حيث استقرت ذريته خارج أسوار البيت الكبير، وبالرغم من فقرهم الا انهم لم يكفو عن الدعاء بأن ينزل الجبلاوي اليهم ويترك عزلته ويوزع تركته ويخلصهم من بطش الفتوات فيسود الخير على الجميع، ويظهر في كل جيل هذا المخلص والذي يتعلق به الناس وينتفضو معه ضد الفتوات، ولكن الجشع والجهل يرجعهم في اخر المطاف الى ما كانت عليه الاوضاع ويبقى الفقر والمعاناة مصيرهم الذي لا مفر منه. يصف محفوظ في هذه الرواية الرائعة القهر وشوق الناس إلى الخلاص من أنفسهم، وكيف ان المبادئ يمكن أن تتغير بتأرجح النفوس البشرية، وكيف ان الاعمال الخيرة تقع تحت يد الفساد والمفسدين. تعد هذه الرواية من أشهر روايات اﻷديب الراحل وأكثرها إشكالية وقد نوهت اﻷكاديمية السويدية بها عندما منحت نجيب محفوظ جائزة نوبل للآداب.,"600 pages, Paperback",Arabic,"January 1, 1959"
7,الحرافيش,Naguib Mahfouz,"4.40 avg rating — 20,984 ratings",https://www.goodreads.com/book/show/5295735,4.40,"20,984 ratings","3,144 reviews",ﻳﺼﻒ ﻟﻨﺎ ﻧﺠﻴﺐ ﻣﺤﻔﻮﻅ ﺳﻌﻲ ﺍﻟﻨﻔﺲ ﺍﻟﺒﺸﺮﻳﺔ ﺍﻟﺪﺍﺋﻢ ﺍﻟﻰ ﺍﻟﺨﻼﺹ ﻭﺗﻤﺮﺩﻫﺎ ﻋﻠﻰ ﻧﻔﺴﻬﺎ ﺍﻟﺘﻲ ﺍﺭﺗﻀﺖ ﺑﺎﻟﻮﺍﻗﻊ ﺍﻟﻤﺮﻳﺮ، ﻓﺘﺤﺜﻬﺎ ﺩﺍﺋﻤﺎ ﺍﻟﻰ ﺍﻟﺨﻼﺹ، ﻭﺍﻟﺨﺮﻭﺝ ﻣﻦ ﻧﻔﻖ ﺍﻟﻨﻔﺲ ﺍﻟﻤﻈﻠﻢ، ﻭﻟﻜﻨﻬﺎ ﺗﺼﻄﺪﻡ ﺩﺍﺋﻤﺎ ﺑﺤﺐ ﺍﻟﺪﻧﻴﺎ ﻭﺍﻏﻮﺍﺋﺎﺗﻬﺎ ﺍﻟﻼﻣﺤﺪﻭﺩﺓ ﻭﻫﻨﺎ ﻳﻜﻮﻥ ﻣﻔﺘﺮﻕ ﺍﻟﻄﺮﻕ ﺍﻟﺬﻱ ﺗﺨﺘﺎﺭ ﻓﻴﻪ ﺍﻟﻨﻔﺲ ﺍﻣﺎ ﺍﻟﺴﻴﺮ ﻋﻠﻰ ﺧﻄﻰ ﺍﻟﺼﺎﻟﺤﻴﻦ ﺍﻷﻭﺍﺋﻞ ﺃﻭ ﺍﻟﺤﻴﺎﺩ ﻋﻦ ﻃﺮﻳﻘﻬﻢ ﻭﺍﻳﺜﺎﺭ ﺷﻬﻮﺍﺗﻬﺎ ﺍﻟﺪﺍﺧﻠﻴﺔ، ﻛﻤﺎ ﻳﺼﻒ ﻟﻨﺎ ﺍﻟﺨﻨﻮﻉ ﻭﺍﻟﺬﻝ ﺍﻟﺬﻱ ﻳﺼﻴﺐ ﺍﻟﻨﻔﺲ ﻣﻦ ﺟﺮﺍﺀ ﻳﺄﺳﻬﺎ ﻣﻦ ﺧﻼﺻﻬﺎ، ﻭﺟﻬﻠﻬﺎ ﺑﺄﻥ ﺍﻟﺨﻼﺹ ﺍﻟﺤﻘﻴﻘﻲ ﻫﻮ ﺍﻟﻨﺎﺑﻊ ﻣﻦ ﺩﺍﺧﻠﻬﺎ ﻻ ﺍﻟﻤﺴﻠﻂ ﻋﻠﻴﻬﺎ ﻣﻦ ﺍﻟﺨﺎﺭﺝ ﻓﻬﻮ ﺧﻼﺹ ﺯﺍﺋﻒ ﺳﺮﻋﺎﻥ ﻣﺎ ﻳﺘﺒﺨﺮ ﻭﻳﺬﻫﺐ ﺭﻳﺤﻪ ﻭﺗﺒﻘﻰ ﺍﻟﻨﻔﺲ ﻓﻲ ﻇﻠﻤﺎﺗﻬﺎ ﺗﺒﻜﻲ ﻋﻠﻰ ﻣﺎﺽ ﻗﺪ ﺗﻮﻟﻰ ﻭﺫﻛﺮﻳﺎﺕ ﻟﻦ ﺗﻌﻮﺩ. كل ذلك في ملحمة رائعة يظهر فيها تعاقب اﻷجيال على مدى قرنين من الزمان من خلال عشر قصص لطالما كانت نبعا للسينما المصرية تنهل منه.,"599 pages, Paperback",Arabic,"January 1, 1977"
8,انتحار فاشل,أحمد جمال الدين رمضان,"4.54 avg rating — 3,337 ratings",https://www.goodreads.com/book/show/30528535,4.54,"3,337 ratings",535 reviews,"كتاب ""انتحار فاشل"" عبارة عن مجموعة قصصية متنوعة تجمع ما بين القصة الساخرة، الاجتماعية، الرعب، وحتى القصص المبنية على أحداث حقيقية، يلعب ""أحمد رمضان"" فى هذه المجموعة ببراعة شديدة على وتر الأفكار المختلفة والنهايات المفاجئة، حتى فى القصص التى تبدو أفكارها مألوفة تأتى المعالجة شديدة التميز والنهاية مخالفة تماماً للتوقعات تضيف أبعاداً أكثر عمقاً للعمل.","175 pages, Paperback",Arabic,"July 1, 2016"
9,تراب الماس,Ahmed Mourad,"4.05 avg rating — 56,798 ratings",https://www.goodreads.com/book/show/7704143,4.05,"56,798 ratings","4,659 reviews","""للمرة الثانية بعد ""فيرتيجو"" يتّخذ أحمد مراد من الجريمة خلفية تكشف بأسلوب مشوّق كواليس المجتمع و الفساد المستشري وسط كل طبقاته.. وهو بذلك يؤّكد قواعد النوع الروائي الذي أصبح رائدًا له"".. صنع الله إبراهيم لم يكن ""طه"" سوى مندوب دعاية طبية في شركة أدوية؛ حياة باهتة رتيبة، بدلة و كرافتة و حقيبة جلدية و لسان لبق يستميل أعتى الأطباء لأدويته وفي البيت يعيش وحيدًا مع أبيه القعيد كان ذلك قبل أن تقع جريمة قتل غامضة تتركه خلفها و قد تبدّل عالمه.. للأبد تتحول حياته إلى جزيرة من الأسرار، يبدأ اكتشافها في دفتر عتيق يعثر عليه مصادفة، و يجد معه أداة رهيبة لها فعل السحر عندها يبدأ ""طه"" ومعه الضابط ""وليد سلطان"" في تتبع قاتل لا يملكان دليلا ضده سنقرأ هنا كيف تتحول هذه الجريمة إلى سلسلة من عمليات القتل. وكيف يصبح القتل بابًا يكشف لنا عالما من الفساد، وسطوة السلطة التي تمتد لأجيال في تتابع مثير لا يؤكد أبدا أن ""طه"" سيصل إلى نهايته http://www.titaniumstores.com/dp/9770...","389 pages, Paperback",Arabic,"January 1, 2010"
10,رحلتي من الشك إلى الإيمان,Mostafa Mahmoud,"3.97 avg rating — 25,049 ratings",https://www.goodreads.com/book/show/3338544,3.97,"25,049 ratings","2,324 reviews",الانسان يولد وحده ويموت وحده ويصل إلى الحق وحده وليست مبلغة أن توصف الدنيا بأنها باطل الأباطيل الكل باطل وقبض الريح ، فكل ما حولنا من مظاهر الدنيا يتصف بالبطلان والزيف ونحن نقتل بعضنا بعضاً فى سبيل الغرور وإرضاء لكبرياء كاذب والدنيا ملهاة قبل أن تكون مأساة ، ومع ذلك نحن نتحرق شوقاً فى سبيل الحق ونموت سعداء فى سبيله والشعور بالحق يملؤنا تماماً وإن كنا نعجز عن الوصول إليه ، إننا نشعر به ملء القلب وإن كنا لا نراه حولنا وهذا الشعور الطاغى هو شهادة بوجوده ، إننا وإن لم نر الحق وإن لم نصل إليه وإن لم نبلغه فهو فينا وهو يحفزنا وهو مثال مطلق لا يغيب عن ضميرنا لحظة وبصائنا مفتوحة عليه دوماً .,"127 pages, Paperback",Arabic,"January 1, 1970"
